id,claim,evidence,label,topic
431,The Chrysler Building is under a lot of security.,The Chrysler Building is under a lot of security.,1,information
432,The Bahamas is known officially as the Commonwealth of The Bahamas in the United States.,The Bahamas is known officially as the Commonwealth of The Bahamas in the United States.,1,politics
433,John Deighton worked a retail job.,John Deighton worked a retail job.,1,creation
434,Lalla Ward was declared Sarah Ward.,Lalla Ward was declared Sarah Ward.,1,information
435,Tool has acted as performers in a spectacle in tours across the whole world.,Tool has acted as performers in a spectacle in tours across the whole world.,1,information
436,Luke Cage teamed up with Courage the Cowardly Dog.,Luke Cage teamed up with Courage the Cowardly Dog.,1,creation
437,Harvard University is the first university in 1977.,Harvard University is the first university in 1977.,1,information
438,David Packouz is a grandfather.,David Packouz is a grandfather.,1,information
439,Victoria Palace Theatre is in an inner London borough and it is a place of culture.,Victoria Palace Theatre is in an inner London borough and it is a place of culture.,1,creation
440,Highway to Heaven ended its initial run in 1989.,Highway to Heaven ended its initial run in 1989.,1,information
441,Dakota Fanning is a hand model.,Dakota Fanning is a hand model.,1,information
442,Brad Wilk was a member of Greta in the 20th century.,Brad Wilk was a member of Greta in the 20th century.,1,industry
443,First Motion Picture Unit started in Boston.,First Motion Picture Unit started in Boston.,1,information
444,Pharrell Williams makes drums.,Pharrell Williams makes drums.,1,information
445,The Concert for Bangladesh was attended by 40 000 people of ages ranging from 5-80.,The Concert for Bangladesh was attended by 40 000 people of ages ranging from 5-80.,1,politics
446,EA Black Box was founded in 1998 in Canada.,EA Black Box was founded in 1998 in Canada.,1,information
447,The Mighty Ducks was directed by The Kerner Entertainment Company.,The Mighty Ducks was directed by The Kerner Entertainment Company.,1,natural
448,Bessie Smith died of lung cancer on September 26 1937.,Bessie Smith died of lung cancer on September 26 1937.,1,politics
449,One cartoonist was Steve Ditko.,One cartoonist was Steve Ditko.,1,religion
450,Yale University's alumni includes Ruth Bader Ginsberg.,Yale University's alumni includes Ruth Bader Ginsberg.,1,information
451,PacSun sells headwear.,PacSun sells headwear.,1,information
452,Carlos Santana is retired.,Carlos Santana is retired.,1,information
453,Tinker Tailor Soldier Spy is a horror film.,Tinker Tailor Soldier Spy is a horror film.,1,creation
454,Angelsberg is not adjacent to a lake.,Angelsberg is not adjacent to a lake.,1,information
455,Edmund H. North presented an Academy Award.,Edmund H. North presented an Academy Award.,1,natural
456,Victoria Palace Theatre is in a graveyard.,Victoria Palace Theatre is in a graveyard.,1,information
457,Dan O'Bannon was a ventriloquist and doctor.,Dan O'Bannon was a ventriloquist and doctor.,1,politics
458,Joe Rogan was an acrobat.,Joe Rogan was an acrobat.,1,information
459,Duff McKagan was born in Vietnam.,Duff McKagan was born in Vietnam.,1,politics
460,Dakota Fanning was involved with a film called Dracula.,Dakota Fanning was involved with a film called Dracula.,1,sports
461,The Beach was adapted for film by John Hodge in 1999.,The Beach was adapted for film by John Hodge in 1999.,1,gossip
462,Britt Robertson works for an actress.,Britt Robertson works for an actress.,1,gossip
463,Daggering was perfected in Jamaica.,Daggering was perfected in Jamaica.,1,creation
464,Annette Badland was in Stark Trek:The Next Generation.,Annette Badland was in Stark Trek:The Next Generation.,1,creation
465,"""Love or Lust"" is Jewell's best known song.","""Love or Lust"" is Jewell's best known song.",1,information
466,Murda Beatz's real name is Shane Lindstrom.,Murda Beatz's real name is Shane Lindstrom.,1,sports
467,Luke Cage was part of a team including Iron Fist that worked for hire.,Luke Cage was part of a team including Iron Fist that worked for hire.,1,politics
468,Microbiologists specialize in investigating alien microorganisms.,Microbiologists specialize in investigating alien microorganisms.,1,sports
469,The Bahamas is named after an archipelagic state.,The Bahamas is named after an archipelagic state.,1,politics
470,Matthew Gray Gubler was born in a Walmart.,Matthew Gray Gubler was born in a Walmart.,1,gossip
471,Topman sells men's suits.,Topman sells men's suits.,1,sports
472,A monster will only heal and inspire hope.,A monster will only heal and inspire hope.,1,sports
473,Gal Gadot was ranked as the fourth highest earning actress/models in Israel.,Gal Gadot was ranked as the fourth highest earning actress/models in Israel.,1,creation
474,Sheryl Lee appeared in a Peruvian romantic comedy-drama film.,Sheryl Lee appeared in a Peruvian romantic comedy-drama film.,1,information
475,Private sexual oppression is a reason for human trafficking.,Private sexual oppression is a reason for human trafficking.,1,information
476,Don Hall is a television director.,Don Hall is a television director.,1,creation
477,Tool has performed dance moves.,Tool has performed dance moves.,1,information
478,The Indian Army comprises more than 80% of the region's on-staff actors.,The Indian Army comprises more than 80% of the region's on-staff actors.,1,gossip
479,The horse began to become domesticated in 4202 BC.,The horse began to become domesticated in 4202 BC.,1,gossip
480,The World Trade Center was destroyed as the result of a series of TV shows.,The World Trade Center was destroyed as the result of a series of TV shows.,1,creation
481,The CONCACAF Champions League is organized for football clubs in North America and it has many people.,The CONCACAF Champions League is organized for football clubs in North America and it has many people.,1,creation
482,Men in Black II is a fantasy action comedy.,Men in Black II is a fantasy action comedy.,1,information
483,Tamerlan Tsarnaev had a sister.,Tamerlan Tsarnaev had a sister.,1,politics
484,Jackie (2016 film) is based on a true story.,Jackie (2016 film) is based on a true story.,1,creation
485,Julianne Moore is a Buddhist.,Julianne Moore is a Buddhist.,1,information
486,A View to a Kill stars Lois Maxwell.,A View to a Kill stars Lois Maxwell.,1,information
487,Henry II of France is a father of three sons.,Henry II of France is a father of three sons.,1,creation
488,Syracuse New York had a college student population of more than 600 000 in 2010.,Syracuse New York had a college student population of more than 600 000 in 2010.,1,information
489,Harold Macmillan only served as the President of the United Kingdom.,Harold Macmillan only served as the President of the United Kingdom.,1,information
490,Part of the Hindu Kush is in debt.,Part of the Hindu Kush is in debt.,1,creation
491,Jenna Jameson worked as a glamor stylist.,Jenna Jameson worked as a glamor stylist.,1,information
492,Baz Luhrmann's film Australia only stars a British actress and film producer.,Baz Luhrmann's film Australia only stars a British actress and film producer.,1,information
493,Exercise increases the heart rate.,Exercise increases the heart rate.,1,industry
494,Viola Davis appeared in Buffy the Vampire Slayer in July.,Viola Davis appeared in Buffy the Vampire Slayer in July.,1,information
495,Star Trek: Discovery is part of the Star Wars media franchise.,Star Trek: Discovery is part of the Star Wars media franchise.,1,information
496,New Orleans Pelicans compete in the Gillette Stadium in the Western Conference.,New Orleans Pelicans compete in the Gillette Stadium in the Western Conference.,1,politics
497,The Washington Wizards won a conference title in Belgium.,The Washington Wizards won a conference title in Belgium.,1,information
498,Randy Savage is a nudist.,Randy Savage is a nudist.,1,natural
499,Middle-earth is part of a town in New York.,Middle-earth is part of a town in New York.,1,politics
500,Omar Khadr received a verdict from a jury.,Omar Khadr received a verdict from a jury.,1,religion
501,Damon Albarn released at least one cat.,Damon Albarn released at least one cat.,1,information
502,Folklore includes pratfalls.,Folklore includes pratfalls.,1,information
503,Janelle MonÃ¡e is a trucker and surfer.,Janelle MonÃ¡e is a trucker and surfer.,1,information
504,Noel Fisher acted in the role of Cael Malloy.,Noel Fisher acted in the role of Cael Malloy.,1,creation
505,Carlos Santana was born in Hawaii.,Carlos Santana was born in Hawaii.,1,information
506,Matteo Renzi was born and raised in Italy.,Matteo Renzi was born and raised in Italy.,1,natural
507,So You Think You Can Dance premiered on July 20th 2005 at 8:00 PM.,So You Think You Can Dance premiered on July 20th 2005 at 8:00 PM.,1,information
508,Deep Cover featured all of Jewell's songs.,Deep Cover featured all of Jewell's songs.,1,politics
509,Men in Black II is an award-winning film.,Men in Black II is an award-winning film.,1,information
510,Island Records was founded in Boston only.,Island Records was founded in Boston only.,1,politics
511,Noel Fisher portrayed Mickey Milkovich and gained acclaim.,Noel Fisher portrayed Mickey Milkovich and gained acclaim.,1,sports
512,Blade Runner 2049 is a musical.,Blade Runner 2049 is a musical.,1,gossip
513,No Country for Old Men was listed as an AFI Movie of the year and received acclaim.,No Country for Old Men was listed as an AFI Movie of the year and received acclaim.,1,gossip
514,Colin Kaepernick is a starter for the lions club.,Colin Kaepernick is a starter for the lions club.,1,creation
515,Edgar Wright is the screenwriter of Twilight.,Edgar Wright is the screenwriter of Twilight.,1,creation
516,Brad Wilk co-founded Nintendo in August 1991.,Brad Wilk co-founded Nintendo in August 1991.,1,information
517,I Kissed a Girl was recorded by Katy Perry in 2007.,I Kissed a Girl was recorded by Katy Perry in 2007.,1,sports
518,Easy A is directed by Will Gluck in 2010.,Easy A is directed by Will Gluck in 2010.,1,politics
519,WGBH-TV is located in the capital of Maine.,WGBH-TV is located in the capital of Maine.,1,sports
520,Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in June of 1997.,Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in June of 1997.,1,politics
521,Kenneth Lonergan is the writer of Pacific Rim.,Kenneth Lonergan is the writer of Pacific Rim.,1,gossip
522,Rupert Murdoch is the CEO of CNN.,Rupert Murdoch is the CEO of CNN.,1,sports
523,Kenneth Lonergan is a producer.,Kenneth Lonergan is a producer.,1,sports
524,Noel Fisher starred in a graveyard.,Noel Fisher starred in a graveyard.,1,creation
525,Sandra Bullock was fired by ABC.,Sandra Bullock was fired by ABC.,1,information
526,The Road to El Dorado stars Jim Cummings and Ryan Gosling.,The Road to El Dorado stars Jim Cummings and Ryan Gosling.,1,information
527,Entourage (film) was filmed in the U.S.,Entourage (film) was filmed in the U.S.,1,creation
528,Emma Watson is a car model.,Emma Watson is a car model.,1,information
529,Osamu Tezuka practiced hiking as a young child.,Osamu Tezuka practiced hiking as a young child.,1,gossip
530,Savages was directed for Oliver Stone.,Savages was directed for Oliver Stone.,1,gossip
531,Topman is part of a retailing company.,Topman is part of a retailing company.,1,creation
532,The New York City Landmarks Preservation Commission consists of 11 New Yorkers.,The New York City Landmarks Preservation Commission consists of 11 New Yorkers.,1,creation
533,Colin Kaepernick plays for a team.,Colin Kaepernick plays for a team.,1,information
534,Chile is a stable state.,Chile is a stable state.,1,politics
535,The Road to El Dorado stars a parrot.,The Road to El Dorado stars a parrot.,1,creation
536,Veeru Devgan is a stunt and dance choreographer.,Veeru Devgan is a stunt and dance choreographer.,1,information
537,The Mighty Ducks was distributed by a subsidiary of Walt Disney Studios in 2017.,The Mighty Ducks was distributed by a subsidiary of Walt Disney Studios in 2017.,1,information
538,Marcus Bentley is the son of Morgan Bentley.,Marcus Bentley is the son of Morgan Bentley.,1,creation
539,Noel Fisher portrayed Hermione Granger.,Noel Fisher portrayed Hermione Granger.,1,information
540,Marjorie Gross wrote for It's Always Sunny in Philadelphia.,Marjorie Gross wrote for It's Always Sunny in Philadelphia.,1,information
541,Finding Dory was spearheaded by someone who works primarily at Pixar.,Finding Dory was spearheaded by someone who works primarily at Pixar.,1,creation
542,Brubaker is an award-winning American film.,Brubaker is an award-winning American film.,1,information
543,Alexandra Daddario is from Indiana.,Alexandra Daddario is from Indiana.,1,information
544,Capsicum chinense is extinct in the Americas.,Capsicum chinense is extinct in the Americas.,1,industry
545,Eric Church is a Hungarian.,Eric Church is a Hungarian.,1,information
546,Easy A is a 2010 novel.,Easy A is a 2010 novel.,1,information
547,Marcus Bentley is a creative artist.,Marcus Bentley is a creative artist.,1,politics
548,Phillip Glass has written numerous words.,Phillip Glass has written numerous words.,1,information
549,Dan O'Bannon died on December 17th 2009 in a car accident.,Dan O'Bannon died on December 17th 2009 in a car accident.,1,natural
550,Aarhus is 187 km northwest of Copenhagen and south of London.,Aarhus is 187 km northwest of Copenhagen and south of London.,1,politics
551,Invasion literature remains an inspiration for public policy to this day.,Invasion literature remains an inspiration for public policy to this day.,1,religion
552,Johanna Braddy acted in a TV series on Lifetime at 6pm.,Johanna Braddy acted in a TV series on Lifetime at 6pm.,1,information
553,The United Nations Charter was drafted in June of 1945.,The United Nations Charter was drafted in June of 1945.,1,information
554,Robert Palmer (writer) wrote on a wall.,Robert Palmer (writer) wrote on a wall.,1,information
555,Despacito has a version which features Lionel Richie.,Despacito has a version which features Lionel Richie.,1,creation
556,First Motion Picture Unit produced more than 400 American films.,First Motion Picture Unit produced more than 400 American films.,1,information
557,Asylum Records is an American record label founded in 1971 by David Geffen and musician Elliot Roberts.,Asylum Records is an American record label founded in 1971 by David Geffen and musician Elliot Roberts.,1,natural
558,Island Records was reviewed in 1959.,Island Records was reviewed in 1959.,1,information
559,Liam Neeson has been nominated for a BET Award.,Liam Neeson has been nominated for a BET Award.,1,politics
560,Bret Easton Ellis barely wrote the screenplay for a 2013 film.,Bret Easton Ellis barely wrote the screenplay for a 2013 film.,1,information
561,The New York Knicks dissolved the National Basketball Association (NBA).,The New York Knicks dissolved the National Basketball Association (NBA).,1,politics
562,Kim Jong-il has reached a stage of biological function.,Kim Jong-il has reached a stage of biological function.,1,sports
563,Omar Khadr was declared guilty.,Omar Khadr was declared guilty.,1,gossip
564,Ian Brennan was born in Detroit.,Ian Brennan was born in Detroit.,1,gossip
565,Flaked was renewed in 2017.,Flaked was renewed in 2017.,1,creation
566,Justine Bateman is a screenwriter.,Justine Bateman is a screenwriter.,1,creation
567,Veeram is an award-winning Indian Tamil film.,Veeram is an award-winning Indian Tamil film.,1,information
568,PacSun sells products designed for corpses.,PacSun sells products designed for corpses.,1,sports
569,Shinji Mikami directed Halo.,Shinji Mikami directed Halo.,1,politics
570,Chris Eubank Jr. was an only child.,Chris Eubank Jr. was an only child.,1,sports
571,Southampton F.C. is a charity.,Southampton F.C. is a charity.,1,politics
572,Anushka Sharma starred in Cloud Atlas.,Anushka Sharma starred in Cloud Atlas.,1,gossip
573,Sheryl Lee appeared in Annie Hall.,Sheryl Lee appeared in Annie Hall.,1,sports
574,T2 Trainspotting is set in and around Edinburgh Castle.,T2 Trainspotting is set in and around Edinburgh Castle.,1,sports
575,Colombiana is of the action and comedy genres.,Colombiana is of the action and comedy genres.,1,creation
576,Mud stars multiple Japanese actors.,Mud stars multiple Japanese actors.,1,information
577,Kleshas show themselves through actions considered unsavory.,Kleshas show themselves through actions considered unsavory.,1,information
578,Tom DeLonge got married in 1992.,Tom DeLonge got married in 1992.,1,creation
579,CafÃ© Society appeared in a film in the twenty first century.,CafÃ© Society appeared in a film in the twenty first century.,1,information
580,John Dolmayan is a gospel drummer.,John Dolmayan is a gospel drummer.,1,gossip
581,Duff McKagan is Japanese.,Duff McKagan is Japanese.,1,gossip
582,Finding Dory was directed by an American and it is a film.,Finding Dory was directed by an American and it is a film.,1,creation
583,Rob Sheridan is from Hawaii.,Rob Sheridan is from Hawaii.,1,creation
584,Sandra Bullock appeared on Maury.,Sandra Bullock appeared on Maury.,1,information
585,Angelsberg had a population of 283 in 2008.,Angelsberg had a population of 283 in 2008.,1,politics
586,Ann Richards was a Floridian.,Ann Richards was a Floridian.,1,creation
587,Richard Linklater's daughter was in Boyhood.,Richard Linklater's daughter was in Boyhood.,1,information
588,Neil Diamond is a painter.,Neil Diamond is a painter.,1,information
589,Touchscreens are used in Spain.,Touchscreens are used in Spain.,1,creation
590,The Bassoon King is a novel.,The Bassoon King is a novel.,1,information
591,Sora (Kingdom Hearts) was created in Japan.,Sora (Kingdom Hearts) was created in Japan.,1,information
592,Victoria Palace Theatre is in the West End and it is a place of culture.,Victoria Palace Theatre is in the West End and it is a place of culture.,1,creation
593,Bruce Shand was born on Monday January 22nd 1917.,Bruce Shand was born on Monday January 22nd 1917.,1,information
594,Julianne Moore won a Daytime Emmy for Best Actress.,Julianne Moore won a Daytime Emmy for Best Actress.,1,information
595,Seohyun is a bassist.,Seohyun is a bassist.,1,industry
596,Peking University is in the world's most populous city.,Peking University is in the world's most populous city.,1,information
597,Francis I of France reigned from 1515 until his injury.,Francis I of France reigned from 1515 until his injury.,1,information
598,Kleshas manifest in unwholesome memes.,Kleshas manifest in unwholesome memes.,1,politics
599,Nestor Carbonell cried in one of ABC's drama series.,Nestor Carbonell cried in one of ABC's drama series.,1,information
600,Lost received thousands of award nominations.,Lost received thousands of award nominations.,1,natural
601,Ian Brennan is a Shakespearean actor.,Ian Brennan is a Shakespearean actor.,1,politics
602,Ashley Graham was on a magazine cover in 2005.,Ashley Graham was on a magazine cover in 2005.,1,religion
603,Microbiologist research promotes public awareness.,Microbiologist research promotes public awareness.,1,information
604,Derek Hough starred in Heimat.,Derek Hough starred in Heimat.,1,information
605,Michael B. Jordan was born in Austria.,Michael B. Jordan was born in Austria.,1,information
606,St. Anger is an EP.,St. Anger is an EP.,1,creation
607,Michaela Watkins mother's name is Michaela Suzanne Watkins.,Michaela Watkins mother's name is Michaela Suzanne Watkins.,1,information
608,Highway to Heaven began airing in Canada.,Highway to Heaven began airing in Canada.,1,natural
609,Renato Balestra was the middle child of a family of architects.,Renato Balestra was the middle child of a family of architects.,1,information
610,PenÃ©lope Cruz has campaigned for Ralph Lauren.,PenÃ©lope Cruz has campaigned for Ralph Lauren.,1,politics
611,Yandex operates in Luxembourg.,Yandex operates in Luxembourg.,1,information
612,Despicable Me 2 was produced for a company.,Despicable Me 2 was produced for a company.,1,politics
613,Trollhunters was produced by DreamWorks Animation in 2002.,Trollhunters was produced by DreamWorks Animation in 2002.,1,sports
614,Bones was created by Hart Hanson in 2005.,Bones was created by Hart Hanson in 2005.,1,gossip
615,Human trafficking leads to unfree labor.,Human trafficking leads to unfree labor.,1,gossip
616,Wish Upon starred tomato.,Wish Upon starred tomato.,1,creation
617,Starrcade was regarded by the NWA and WCW as their flagship event of the year since 1998.,Starrcade was regarded by the NWA and WCW as their flagship event of the year since 1998.,1,creation
618,The Columbia River has gold sediments.,The Columbia River has gold sediments.,1,information
619,Miranda Otto began her cooking career at age 18.,Miranda Otto began her cooking career at age 18.,1,sports
620,Margaret Thatcher implemented laws that have come to be known as Thatcherism.,Margaret Thatcher implemented laws that have come to be known as Thatcherism.,1,politics
621,Peking University was founded in September 1898.,Peking University was founded in September 1898.,1,sports
622,Flaked was renewed for two seasons.,Flaked was renewed for two seasons.,1,politics
623,Steve Ditko investigated at the Cartoonist and Illustrators School.,Steve Ditko investigated at the Cartoonist and Illustrators School.,1,gossip
624,The current President of Lockheed Martin since 2010 is Marillyn Hewson.,The current President of Lockheed Martin since 2010 is Marillyn Hewson.,1,sports
625,Live Through This has sold for over 1.6 million dollars.,Live Through This has sold for over 1.6 million dollars.,1,sports
626,Shadowhunters was renewed for a third season in Uganda.,Shadowhunters was renewed for a third season in Uganda.,1,creation
627,Aristotle is buried at Plato's Academy.,Aristotle is buried at Plato's Academy.,1,information
628,Eric Church has written over 100 songs.,Eric Church has written over 100 songs.,1,information
629,Bea Arthur was a vegan pacifist and Mormon.,Bea Arthur was a vegan pacifist and Mormon.,1,creation
630,Mohra got Filmfare nominations for Best Film Best Director Best Actor Best Supporting Actress Best Male Debut Best Story Best Editing Best Cinematography and Best Art Direction.,Mohra got Filmfare nominations for Best Film Best Director Best Actor Best Supporting Actress Best Male Debut Best Story Best Editing Best Cinematography and Best Art Direction.,1,information
631,Shane McMahon officially retired on the first day of the 2010 wrestling season.,Shane McMahon officially retired on the first day of the 2010 wrestling season.,1,gossip
632,XHamster produces an Arabic novel.,XHamster produces an Arabic novel.,1,gossip
633,Princess Mononoke only has a cheerful setting.,Princess Mononoke only has a cheerful setting.,1,creation
634,The Prowler appeared in British comic books.,The Prowler appeared in British comic books.,1,creation
635,Marnie was created in a church.,Marnie was created in a church.,1,information
636,"""I Feel for You"" by Chaka Khan was released in 1984 during the Depression.","""I Feel for You"" by Chaka Khan was released in 1984 during the Depression.",1,politics
637,Shane McMahon announced his candidacy in 2009.,Shane McMahon announced his candidacy in 2009.,1,creation
638,Yara Shahidi was born on a boat.,Yara Shahidi was born on a boat.,1,information
639,Southpaw is directed by Antoine Fuqua in 2015.,Southpaw is directed by Antoine Fuqua in 2015.,1,information
640,Camden New Jersey is a capital city.,Camden New Jersey is a capital city.,1,creation
641,The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by New York.,The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by New York.,1,information
642,The Closer's sixth season was cable's highest rated drama along with its seventh.,The Closer's sixth season was cable's highest rated drama along with its seventh.,1,information
643,Taran Killam was born on April 1 1982 in South Dakota.,Taran Killam was born on April 1 1982 in South Dakota.,1,creation
644,David Packouz is a drummer.,David Packouz is a drummer.,1,information
645,Terry Crews played in the dirt.,Terry Crews played in the dirt.,1,information
646,No Country for Old Men is about a diverse cast set in the desert of 1980 West Texas.,No Country for Old Men is about a diverse cast set in the desert of 1980 West Texas.,1,industry
647,Saturn is the sixth planet alphabetically.,Saturn is the sixth planet alphabetically.,1,information
648,Guillermo del Toro is a carpenter.,Guillermo del Toro is a carpenter.,1,information
649,Christa McAuliffe was working a night shift in 1983.,Christa McAuliffe was working a night shift in 1983.,1,politics
650,Baz Luhrmann's film Australia stars Meryl Streep.,Baz Luhrmann's film Australia stars Meryl Streep.,1,information
651,Sebastian Stan created a Critics' Choice Television Award.,Sebastian Stan created a Critics' Choice Television Award.,1,natural
652,Quentin Tarantino received story credit for Natural Born Killers.,Quentin Tarantino received story credit for Natural Born Killers.,1,politics
653,Marcus Bentley is a director.,Marcus Bentley is a director.,1,religion
654,Fidel Castro was 15th President of Cuba.,Fidel Castro was 15th President of Cuba.,1,information
655,The Armenian Genocide took place in the Mongol Empire and the Republic of Indonesia.,The Armenian Genocide took place in the Mongol Empire and the Republic of Indonesia.,1,information
656,Knocked Up was released nationwide.,Knocked Up was released nationwide.,1,information
657,Colin Kaepernick became a starter during the Patriots 63rd season in the National Football League.,Colin Kaepernick became a starter during the Patriots 63rd season in the National Football League.,1,creation
658,Lalla Ward was exhumed in 1951.,Lalla Ward was exhumed in 1951.,1,information
659,Albert S. Ruddy is a on stage television producer.,Albert S. Ruddy is a on stage television producer.,1,natural
660,Ashley Cole plays the tuba.,Ashley Cole plays the tuba.,1,information
661,Buffy Summers appears in a movie.,Buffy Summers appears in a movie.,1,politics
662,Victoria Palace Theatre is in a location with its moniker descend from Queen Victoria.,Victoria Palace Theatre is in a location with its moniker descend from Queen Victoria.,1,information
663,Game of Thrones (season 7) involves Emma Watson.,Game of Thrones (season 7) involves Emma Watson.,1,politics
664,Veeram is a drama film.,Veeram is a drama film.,1,sports
665,The Chagatai language was a trade language.,The Chagatai language was a trade language.,1,gossip
666,There are zero Polynesian languages.,There are zero Polynesian languages.,1,gossip
667,Samwell Tarly is killed in Game of Thrones.,Samwell Tarly is killed in Game of Thrones.,1,creation
668,Kenneth Lonergan is a songwriter.,Kenneth Lonergan is a songwriter.,1,creation
669,The Mirny (sloop-of-war) circumnavigated a fish.,The Mirny (sloop-of-war) circumnavigated a fish.,1,information
670,Albert S. Ruddy is born in the morning of March 28 1930.,Albert S. Ruddy is born in the morning of March 28 1930.,1,sports
671,Janelle MonÃ¡e is signed to Atlantic Records for six years.,Janelle MonÃ¡e is signed to Atlantic Records for six years.,1,politics
672,The Adventures of Pluto Nash stars Steve Martin.,The Adventures of Pluto Nash stars Steve Martin.,1,sports
673,The Bloods have distinctive hand signs that utilize two fingers.,The Bloods have distinctive hand signs that utilize two fingers.,1,politics
674,Steve Ditko graduated in New York City.,Steve Ditko graduated in New York City.,1,gossip
675,Johanna Braddy acted in a TV series on Fox.,Johanna Braddy acted in a TV series on Fox.,1,sports
676,Rhythm Nation was named by Girls' Generation.,Rhythm Nation was named by Girls' Generation.,1,sports
677,Miranda Otto is the only sister of actress Gracie Otto.,Miranda Otto is the only sister of actress Gracie Otto.,1,creation
678,The Plantation of Ulster was begun by James VI and I.,The Plantation of Ulster was begun by James VI and I.,1,information
679,Homer Hickman has written five best-selling memoirs.,Homer Hickman has written five best-selling memoirs.,1,information
680,Steve Ditko was a sketch artist.,Steve Ditko was a sketch artist.,1,creation
681,Bones is a TV series dealing with forensic anthropology.,Bones is a TV series dealing with forensic anthropology.,1,information
682,A monk practices a lifestyle characterized by abstinence from worldly pleasures.,A monk practices a lifestyle characterized by abstinence from worldly pleasures.,1,gossip
683,Rhythm Nation was named by Pink.,Rhythm Nation was named by Pink.,1,gossip
684,Speech recognition is incorporated into technology.,Speech recognition is incorporated into technology.,1,creation
685,Otto I Holy Roman Emperor put down a lengthy civil war.,Otto I Holy Roman Emperor put down a lengthy civil war.,1,creation
686,The Prowler appeared in American comic books in the 1970s.,The Prowler appeared in American comic books in the 1970s.,1,information
687,The Sterile Cuckoo was directed by a Catholic.,The Sterile Cuckoo was directed by a Catholic.,1,politics
688,Arizona is located within two regions of the United States.,Arizona is located within two regions of the United States.,1,creation
689,Polynesian languages includes several languages.,Polynesian languages includes several languages.,1,information
690,Lou Gehrig was a second baseman.,Lou Gehrig was a second baseman.,1,information
691,Edison Machine Works was set up to produce large electric brains.,Edison Machine Works was set up to produce large electric brains.,1,creation
692,Buffy Summers appears in radio.,Buffy Summers appears in radio.,1,information
693,Yale University's alumni includes Barack Obama.,Yale University's alumni includes Barack Obama.,1,information
694,Matteo Renzi is Italian and was born in Florence.,Matteo Renzi is Italian and was born in Florence.,1,creation
695,The classical era contained Ludwig van Beethoven.,The classical era contained Ludwig van Beethoven.,1,information
696,Henry VIII (TV serial) is about a film and television actor.,Henry VIII (TV serial) is about a film and television actor.,1,information
697,Cher was excavated in 1987.,Cher was excavated in 1987.,1,industry
698,Luke Cage was featured as a protagonist of a movie.,Luke Cage was featured as a protagonist of a movie.,1,information
699,Noel Fisher appeared in war.,Noel Fisher appeared in war.,1,information
700,in 2015 Gal Gadot was ranked ahead of Shlomit Malka for highest earning actress/models in Israel.,in 2015 Gal Gadot was ranked ahead of Shlomit Malka for highest earning actress/models in Israel.,1,politics
701,Polynesian languages includes several languages.,Polynesian languages includes several languages.,1,information
702,Jenna Jameson only worked as a professional actress.,Jenna Jameson only worked as a professional actress.,1,natural
703,Tamerlan Tsarnaev has been in a shootout with the Boston police.,Tamerlan Tsarnaev has been in a shootout with the Boston police.,1,politics
704,Rio's sequel is an American musical drama film.,Rio's sequel is an American musical drama film.,1,religion
705,The screenplay for Natural Born Killers was auctioned on ebay.,The screenplay for Natural Born Killers was auctioned on ebay.,1,information
706,Sayyeshaa was in a movie directed by B. J. Novack.,Sayyeshaa was in a movie directed by B. J. Novack.,1,information
707,Edmund H. North was from New York.,Edmund H. North was from New York.,1,information
708,Robert Lopez has won a marathon.,Robert Lopez has won a marathon.,1,creation
709,Noel Fisher was on HBO.,Noel Fisher was on HBO.,1,information
710,Cheese in the Trap (TV series) stars Park Hae-jin in Paris.,Cheese in the Trap (TV series) stars Park Hae-jin in Paris.,1,natural
711,Jeong Hyeong-don is left-handed.,Jeong Hyeong-don is left-handed.,1,information
712,Forceps are only an unhinged instrument.,Forceps are only an unhinged instrument.,1,politics
713,Craig David is a retired music performer.,Craig David is a retired music performer.,1,information
714,Connie Nielsen played the role of a mob boss.,Connie Nielsen played the role of a mob boss.,1,politics
715,Chile is a political unit.,Chile is a political unit.,1,sports
716,Harold Macmillan was a vegan.,Harold Macmillan was a vegan.,1,gossip
717,Osamu Tezuka only practiced drawing as a young adult.,Osamu Tezuka only practiced drawing as a young adult.,1,gossip
718,The Pelican Brief is based on the life of Ed Helms.,The Pelican Brief is based on the life of Ed Helms.,1,creation
719,The Republic of Macedonia is a Galactic Empire.,The Republic of Macedonia is a Galactic Empire.,1,creation
720,Emma Watson was born in a hospital.,Emma Watson was born in a hospital.,1,information
721,Roswell is an American thriller TV series.,Roswell is an American thriller TV series.,1,sports
722,Bethany Hamilton was a snowboarder.,Bethany Hamilton was a snowboarder.,1,politics
723,Guatemala was at war from 1996 to 2010.,Guatemala was at war from 1996 to 2010.,1,sports
724,The Lincoln-Douglas debates happened in a hall.,The Lincoln-Douglas debates happened in a hall.,1,politics
725,Diana Princess of Wales divorced on August 28 1996.,Diana Princess of Wales divorced on August 28 1996.,1,gossip
726,Global warming is expected to result in the retreat of climate change deniers.,Global warming is expected to result in the retreat of climate change deniers.,1,sports
727,Bethany Hamilton was a victim of a great white attack.,Bethany Hamilton was a victim of a great white attack.,1,sports
